SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 14-Jun-2024,181.22,184.0,203.0,183.6,189.9,189.54,195.25,2368914,4625.4,44225, 703848, 29.71,0.2971184264181815,2024-06-17
21STCENMGM, BE, 14-Jun-2024,54.66,55.75,55.75,55.75,55.75,55.75,55.75,1479,0.82,17, -, -,,2024-06-17
360ONE, EQ, 14-Jun-2024,782.15,788.0,807.0,780.55,801.65,802.1,794.79,503805,4004.17,32179, 255362, 50.69,0.5068667440775697,2024-06-17
3IINFOLTD, EQ, 14-Jun-2024,37.22,37.4,37.5,36.41,36.74,36.71,36.84,912609,336.23,5445, 445601, 48.83,0.4882715379751898,2024-06-17
3MINDIA, EQ, 14-Jun-2024,36894.6,36950.0,37397.0,36302.05,36540.0,36489.25,36839.71,9355,3446.35,5680, 3799, 40.61,0.40609299839657936,2024-06-17
3PLAND, EQ, 14-Jun-2024,31.4,31.95,31.99,30.41,31.69,31.05,31.37,14885,4.67,257, 9110, 61.20,0.6120255290560968,2024-06-17
5PAISA, EQ, 14-Jun-2024,536.75,536.75,541.3,531.9,532.0,533.5,536.57,29793,159.86,3178, 19716, 66.18,0.6617661866881482,2024-06-17
63MOONS, EQ, 14-Jun-2024,365.65,367.0,376.4,360.0,370.5,370.5,370.26,92918,344.04,2649, 58927, 63.42,0.6341828278697346,2024-06-17
A2ZINFRA, BE, 14-Jun-2024,22.88,22.88,22.88,21.73,22.15,22.19,22.17,731194,162.14,1159, -, -,,2024-06-17
AAATECH, BE, 14-Jun-2024,114.27,114.27,116.5,111.1,112.0,112.19,112.91,9985,11.27,178, -, -,,2024-06-17
AADHARHFC, EQ, 14-Jun-2024,395.5,398.0,431.85,396.5,422.0,420.15,416.3,4444304,18501.75,72859, 2392984, 53.84,0.5384384146539031,2024-06-17
AAKASH, EQ, 14-Jun-2024,12.66,12.9,12.9,12.15,12.18,12.21,12.36,653884,80.81,1894, 418281, 63.97,0.6396868557725836,2024-06-17
